cos_way,binary,ddio_ways
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
e0000,11100000000000000000,3
e0000,11100000000000000000,3
e0000,11100000000000000000,3
e0000,11100000000000000000,3
e0000,11100000000000000000,3
e0000,11100000000000000000,3
e0000,11100000000000000000,3
e0000,11100000000000000000,3
e0000,11100000000000000000,3
e0000,11100000000000000000,3
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffe00,11111111111000000000,11
ffe00,11111111111000000000,11
ffe00,11111111111000000000,11
ffe00,11111111111000000000,11
ffe00,11111111111000000000,11
ffe00,11111111111000000000,11
ffe00,11111111111000000000,11
ffe00,11111111111000000000,11
ffe00,11111111111000000000,11
ffe00,11111111111000000000,11
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
f8000,11111000000000000000,5
f8000,11111000000000000000,5
f8000,11111000000000000000,5
f8000,11111000000000000000,5
f8000,11111000000000000000,5
f8000,11111000000000000000,5
f8000,11111000000000000000,5
f8000,11111000000000000000,5
f8000,11111000000000000000,5
f8000,11111000000000000000,5
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
40000,1000000000000000000,1
40000,1000000000000000000,1
40000,1000000000000000000,1
40000,1000000000000000000,1
40000,1000000000000000000,1
40000,1000000000000000000,1
40000,1000000000000000000,1
40000,1000000000000000000,1
40000,1000000000000000000,1
40000,1000000000000000000,1
ffff8,11111111111111111000,17
ffff8,11111111111111111000,17
ffff8,11111111111111111000,17
ffff8,11111111111111111000,17
ffff8,11111111111111111000,17
ffff8,11111111111111111000,17
ffff8,11111111111111111000,17
ffff8,11111111111111111000,17
ffff8,11111111111111111000,17
ffff8,11111111111111111000,17
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ffffc,11111111111111111100,18
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffc00,11111111110000000000,10
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ffff0,11111111111111110000,16
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
f0000,11110000000000000000,4
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
ff800,11111111100000000000,9
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
fe000,11111110000000000000,7
